sample_id	splice_id	gene_symbol	gene_tpm	preference	psi	dpsi	mean_ctrl	std_dev_ctrl	count_ctrl	domain_type	domain_coverage	domain_overlap_start	domain_overlap_end	Brain - Cortex_avg	Brain - Cortex_stdev	Brain - Cerebellum_avg	Brain - Cerebellum_stdev	Brain - Frontal Cortex (BA9)_avg	Brain - Frontal Cortex (BA9)_stdev	Brain - Caudate (basal ganglia)_avg	Brain - Caudate (basal ganglia)_stdev	Brain - Nucleus accumbens (basal ganglia)_avg	Brain - Nucleus accumbens (basal ganglia)_stdev	Brain - Putamen (basal ganglia)_avg	Brain - Putamen (basal ganglia)_stdev	Brain - Hypothalamus_avg	Brain - Hypothalamus_stdev	Brain - Spinal cord (cervical c-1)_avg	Brain - Spinal cord (cervical c-1)_stdev	Brain - Hippocampus_avg	Brain - Hippocampus_stdev	Brain - Anterior cingulate cortex (BA24)_avg	Brain - Anterior cingulate cortex (BA24)_stdev	Brain - Substantia nigra_avg	Brain - Substantia nigra_stdev	Brain - Amygdala_avg	Brain - Amygdala_stdev	cohort.x	Forebrain_4 Week Post Conception_avg	Forebrain_4 Week Post Conception_stdev	Forebrain_5 Week Post Conception_avg	Forebrain_5 Week Post Conception_stdev	Forebrain_6 Week Post Conception_avg	Forebrain_6 Week Post Conception_stdev	Forebrain_7 Week Post Conception_avg	Forebrain_7 Week Post Conception_stdev	Forebrain_8 Week Post Conception_avg	Forebrain_8 Week Post Conception_stdev	Forebrain_9 Week Post Conception_avg	Forebrain_9 Week Post Conception_stdev	Forebrain_10 Week Post Conception_avg	Forebrain_10 Week Post Conception_stdev	Forebrain_11 Week Post Conception_avg	Forebrain_11 Week Post Conception_stdev	Forebrain_12 Week Post Conception_avg	Forebrain_12 Week Post Conception_stdev	Forebrain_13 Week Post Conception_avg	Forebrain_13 Week Post Conception_stdev	Forebrain_16 Week Post Conception_avg	Forebrain_16 Week Post Conception_stdev	Forebrain_18 Week Post Conception_avg	Forebrain_18 Week Post Conception_stdev	Forebrain_19 Week Post Conception_avg	Forebrain_19 Week Post Conception_stdev	Forebrain_Neonate_avg	Forebrain_Neonate_stdev	Forebrain_Infant_avg	Forebrain_Infant_stdev	Forebrain_Toddler_avg	Forebrain_Toddler_stdev	Forebrain_School Age Child_avg	Forebrain_School Age Child_stdev	Forebrain_Adolescent_avg	Forebrain_Adolescent_stdev	Forebrain_Young Adult_avg	Forebrain_Young Adult_stdev	Forebrain_Middle Adult_avg	Forebrain_Middle Adult_stdev	Forebrain_Elderly_avg	Forebrain_Elderly_stdev	Hindbrain_4 Week Post Conception_avg	Hindbrain_4 Week Post Conception_stdev	Hindbrain_5 Week Post Conception_avg	Hindbrain_5 Week Post Conception_stdev	Hindbrain_6 Week Post Conception_avg	Hindbrain_6 Week Post Conception_stdev	Hindbrain_7 Week Post Conception_avg	Hindbrain_7 Week Post Conception_stdev	Hindbrain_8 Week Post Conception_avg	Hindbrain_8 Week Post Conception_stdev	Hindbrain_9 Week Post Conception_avg	Hindbrain_9 Week Post Conception_stdev	Hindbrain_10 Week Post Conception_avg	Hindbrain_10 Week Post Conception_stdev	Hindbrain_11 Week Post Conception_avg	Hindbrain_11 Week Post Conception_stdev	Hindbrain_12 Week Post Conception_avg	Hindbrain_12 Week Post Conception_stdev	Hindbrain_13 Week Post Conception_avg	Hindbrain_13 Week Post Conception_stdev	Hindbrain_16 Week Post Conception_avg	Hindbrain_16 Week Post Conception_stdev	Hindbrain_18 Week Post Conception_avg	Hindbrain_18 Week Post Conception_stdev	Hindbrain_19 Week Post Conception_avg	Hindbrain_19 Week Post Conception_stdev	Hindbrain_Neonate_avg	Hindbrain_Neonate_stdev	Hindbrain_Infant_avg	Hindbrain_Infant_stdev	Hindbrain_Toddler_avg	Hindbrain_Toddler_stdev	Hindbrain_School Age Child_avg	Hindbrain_School Age Child_stdev	Hindbrain_Adolescent_avg	Hindbrain_Adolescent_stdev	Hindbrain_Young Adult_avg	Hindbrain_Young Adult_stdev	Hindbrain_Middle Adult_avg	Hindbrain_Middle Adult_stdev	Hindbrain_Elderly_avg	Hindbrain_Elderly_stdev	pediatrics_avg	pediatrics_stdev	SRR26129178	SRR26129084	SRR26129078	SRR26129066	SRR26129123	cohort.y
BS_DK87G2MP	chr10:CDH23_71643861-71643866_71617204-71617393_71645830-71645980_+	CDH23	23.87	Skipping	0.384	-0.549	0.933	0.07303423854604087	5	EC	100	71643860	71643866	NA	NA	0.9856	0.0443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9117	0.0843	NA	NA	gtex	NA	NA	NA	NA	NA	NA	0.8827	0.0505	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.956	0.0622	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0.965	0.0495	NA	NA	NA	NA	0.9957	0.0075	0.987	1	NA	NA	1	pediatrics
BS_MJ3ZTWB7	chr10:CDH23_71643861-71643866_71617204-71617393_71645830-71645980_+	CDH23	11.23	Skipping	0.226	-0.7070000000000001	0.933	0.07303423854604087	5	EC	100	71643860	71643866	NA	NA	0.9856	0.0443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9117	0.0843	NA	NA	gtex	NA	NA	NA	NA	NA	NA	0.8827	0.0505	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.956	0.0622	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0.965	0.0495	NA	NA	NA	NA	0.9957	0.0075	0.987	1	NA	NA	1	pediatrics
BS_4KNBXM3C	chr10:CDH23_71734656-71734658_71734239-71734341_71738497-71738647_+	CDH23	11.48	Skipping	0.325	-0.597	0.922	0.0381837661840736	2	EC	100	71734655	71734658	NA	NA	0.9421	0.0705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gtex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9877	0.0214	0.963	0.0321	0.9675	0.0392	NA	NA	NA	NA	0.936	0.0691	0.964	0.839	1	0.941	NA	pediatrics
BS_9GJ3DB1H	chr10:CDH23_71734656-71734658_71734239-71734341_71738497-71738647_+	CDH23	17.38	Skipping	0.32799999999999996	-0.5940000000000001	0.922	0.0381837661840736	2	EC	100	71734655	71734658	NA	NA	0.9421	0.0705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gtex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9877	0.0214	0.963	0.0321	0.9675	0.0392	NA	NA	NA	NA	0.936	0.0691	0.964	0.839	1	0.941	NA	pediatrics
BS_AB5PEQTJ	chr10:CDH23_71734656-71734658_71734239-71734341_71738497-71738647_+	CDH23	43.53	Skipping	0.485	-0.43700000000000006	0.922	0.0381837661840736	2	EC	100	71734655	71734658	NA	NA	0.9421	0.0705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gtex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9877	0.0214	0.963	0.0321	0.9675	0.0392	NA	NA	NA	NA	0.936	0.0691	0.964	0.839	1	0.941	NA	pediatrics
BS_E7NVYA6G	chr10:CDH23_71734656-71734658_71734239-71734341_71738497-71738647_+	CDH23	11.96	Skipping	0.495	-0.4270000000000001	0.922	0.0381837661840736	2	EC	100	71734655	71734658	NA	NA	0.9421	0.0705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gtex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9877	0.0214	0.963	0.0321	0.9675	0.0392	NA	NA	NA	NA	0.936	0.0691	0.964	0.839	1	0.941	NA	pediatrics
BS_GWSJ4Z9H	chr10:CDH23_71734656-71734658_71734239-71734341_71738497-71738647_+	CDH23	10.72	Skipping	0.402	-0.52	0.922	0.0381837661840736	2	EC	100	71734655	71734658	NA	NA	0.9421	0.0705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gtex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9877	0.0214	0.963	0.0321	0.9675	0.0392	NA	NA	NA	NA	0.936	0.0691	0.964	0.839	1	0.941	NA	pediatrics
BS_HZ9AYDCQ	chr10:CDH23_71734656-71734658_71734239-71734341_71738497-71738647_+	CDH23	11.94	Skipping	0.494	-0.4280000000000001	0.922	0.0381837661840736	2	EC	100	71734655	71734658	NA	NA	0.9421	0.0705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gtex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9877	0.0214	0.963	0.0321	0.9675	0.0392	NA	NA	NA	NA	0.936	0.0691	0.964	0.839	1	0.941	NA	pediatrics
BS_X20JCR4H	chr10:CDH23_71734656-71734658_71734239-71734341_71738497-71738647_+	CDH23	11.11	Skipping	0.493	-0.4290000000000001	0.922	0.0381837661840736	2	EC	100	71734655	71734658	NA	NA	0.9421	0.0705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gtex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9877	0.0214	0.963	0.0321	0.9675	0.0392	NA	NA	NA	NA	0.936	0.0691	0.964	0.839	1	0.941	NA	pediatrics
BS_YDEVMD24	chr10:CDH23_71734656-71734658_71734239-71734341_71738497-71738647_+	CDH23	16.18	Skipping	0.447	-0.475	0.922	0.0381837661840736	2	EC	100	71734655	71734658	NA	NA	0.9421	0.0705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gtex	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9877	0.0214	0.963	0.0321	0.9675	0.0392	NA	NA	NA	NA	0.936	0.0691	0.964	0.839	1	0.941	NA	pediatrics
